C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/03/02,02:25:03,0000000304980472,,0000000304980287
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/01/01 00:30:00",1,NSW1,1,66.95,0,0,"2019/01/01 00:25:04",66.95,1,1,1,1,7.44,7.44,16.97,16.97,0.02,0.02,0.07,0.07,0.19,0.19,12.37,12.37,FIRM
D,TRADING,PRICE,2,"2019/01/01 00:30:00",1,QLD1,1,63.78,0,0,"2019/01/01 00:25:04",63.78,1,1,1,1,7.44,7.44,16.97,16.97,0.02,0.02,0.07,0.07,0.19,0.19,12.37,12.37,FIRM
D,TRADING,PRICE,2,"2019/01/01 00:30:00",1,SA1,1,75.67,0,0,"2019/01/01 00:25:04",75.67,1,1,1,1,7.44,7.44,16.97,16.97,0.02,0.02,0.07,0.07,0.19,0.19,12.37,12.37,FIRM
D,TRADING,PRICE,2,"2019/01/01 00:30:00",1,TAS1,1,75.27,0,0,"2019/01/01 00:25:04",75.27,4.95,4.95,4.95,4.95,14.4,14.4,14.4,14.4,0.02,0.02,0.07,0.07,0.19,0.19,8.5,8.5,FIRM
D,TRADING,PRICE,2,"2019/01/01 00:30:00",1,VIC1,1,71.49,0,0,"2019/01/01 00:25:04",71.49,1,1,1,1,7.44,7.44,16.97,16.97,0.02,0.02,0.07,0.07,0.19,0.19,12.37,12.37,FIRM
D,TRADING,PRICE,2,"2019/01/01 01:00:00",1,NSW1,2,69.33,0,0,"2019/01/01 00:55:05",69.33,1.08,1.08,1.1,1.1,8.67,8.67,17.96,17.96,0.03,0.03,0.07,0.07,0.19,0.19,11.85,11.85,FIRM
D,TRADING,PRICE,2,"2019/01/01 01:00:00",1,QLD1,2,65.3,0,0,"2019/01/01 00:55:05",65.3,1.08,1.08,1.1,1.1,8.67,8.67,17.96,17.96,0.03,0.03,0.07,0.07,0.19,0.19,11.85,11.85,FIRM
D,TRADING,PRICE,2,"2019/01/01 01:00:00",1,SA1,2,77.81,0,0,"2019/01/01 00:55:05",77.81,1.08,1.08,1.1,1.1,8.67,8.67,17.96,17.96,0.03,0.03,0.07,0.07,0.19,0.19,11.85,11.85,FIRM
D,TRADING,PRICE,2,"2019/01/01 01:00:00",1,TAS1,2,76.45,0,0,"2019/01/01 00:55:05",76.45,4.95,4.95,4.95,4.95,13.49,13.49,13.49,13.49,0.03,0.03,0.07,0.07,0.19,0.19,8.5,8.5,FIRM
D,TRADING,PRICE,2,"2019/01/01 01:00:00",1,VIC1,2,72.62,0,0,"2019/01/01 00:55:05",72.62,1.08,1.08,1.1,1.1,8.67,8.67,17.96,17.96,0.03,0.03,0.07,0.07,0.19,0.19,11.85,11.85,FIRM
